transactionID,customerID,currency,Customer Contract End Date,latlng,text
1,1000,$50.25 ,12/18/2023,"-32.3937485824, 162.3466766336",cell
2,997,$24.11 ,4/15/2025,"38.9946645504, -131.0420292608",tv
3,994,$28.99 ,10/14/2023,"-39.8380174336, -128.7346920448",
4,991,$79.84 ,5/1/2025,"41.6398324736, -126.7992327168",switch
5,988,$16.52 ,11/6/2023,"-71.9544297472, 144.5320067072",switch
6,985,$89.31 ,1/8/2025,"23.2180245504, 102.3735048192",switch
7,982,$26.86 ,12/12/2023,"-81.9313061888, -145.9425176576",tv
8,979,$38.74 ,4/17/2024,"7.4885902336, 45.0327099392",switch
9,976,$57.83 ,4/25/2024,"28.0916451328, -152.289687552",tv
10,973,$54.05 ,11/6/2023,"-13.0174072832, 67.8294529024",tv
11,970,$87.62 ,1/8/2025,"85.43593472, 54.3194075136",switch
12,967,$99.88 ,5/26/2024,"-71.7586552832, 106.747088896",switch
13,964,$27.93 ,1/4/2025,"-75.1323271168, -62.2306586624",
14,961,$22.89 ,2/7/2025,"89.1962969088, 142.1148612608",
15,958,$72.46 ,12/11/2023,"6.7245462528, -66.510362112",
16,955,$27.45 ,7/1/2023,"39.0421578752, -168.8713698304",wifi
17,952,$58.34 ,12/29/2023,"71.1095738368, 153.3972528128",hub
18,949,$71.80 ,12/12/2024,"51.7457719296, 77.9735145472",wifi
19,946,$75.17 ,10/29/2024,"39.9407266816, -134.615642112",switch
20,943,$44.44 ,11/9/2023,"18.2073713664, -42.9743164416",switch
21,940,$43.93 ,4/7/2024,"-35.0884499456, 111.3878006784",
22,937,$47.03 ,6/20/2024,"85.7419067392, -86.1058850816",wifi
23,934,$32.12 ,11/10/2024,"-32.2181172224, -88.692313088",switch
24,931,$80.60 ,3/31/2024,"-22.61590784, 80.5679647744",wifi
25,928,$70.64 ,11/20/2024,"-25.2638398464, -133.8332703744",switch
26,925,$61.60 ,4/23/2025,"13.5150490624, -88.8040373248",hub
27,922,$77.51 ,2/8/2025,"84.0030558208, -26.2931218432",tv
28,919,$67.24 ,10/22/2024,"45.7205348352, -53.4154431488",hub
29,916,$91.50 ,3/16/2024,"-52.6694080512, 70.5950058496",wifi
30,913,$1.61 ,7/21/2024,"-14.686104576, -14.6663328768",wifi
31,910,$29.29 ,2/2/2024,"-45.8411380736, -107.1486509056",wifi
32,907,$7.74 ,11/28/2024,"1.0864995328, -16.8005086208",wifi
33,904,$49.26 ,8/30/2023,"18.1501586432, -83.746079232",
34,901,$28.57 ,6/10/2024,"-82.8062973952, -104.5481951232",switch
35,898,$30.94 ,11/19/2024,"-2.0224873472, 23.5494880256",hub
36,895,$91.01 ,1/2/2024,"-55.7134323712, 143.397643264",cell
37,892,$95.71 ,8/11/2023,"-46.4144058368, 32.519887872",switch
38,889,$5.87 ,4/9/2025,"80.3699329024, 139.5934234624",tv
39,886,$11.37 ,6/10/2024,"-19.3898079232, 106.9699843072",wifi
40,883,$89.72 ,4/2/2024,"13.2275868672, -62.9273248768",hub
41,880,$40.09 ,10/17/2023,"82.2013851648, -162.6344487936",wifi
42,877,$86.42 ,9/6/2023,"-34.1691172864, -136.7197737984",tv
43,874,$32.55 ,12/2/2024,"89.3039492096, 21.3904852992",switch
44,871,$18.24 ,9/16/2023,"-71.7050725376, 176.1565193216",
45,868,$33.00 ,7/10/2024,"48.1318360064, -49.8218222592",wifi
46,865,$48.27 ,9/24/2023,"-51.6388174848, -138.3660449792",hub
47,862,$91.60 ,8/7/2023,"38.2952631296, 116.0755122176",
48,859,$33.30 ,12/20/2023,"-21.8289968128, 73.4304724992",tv
49,856,$80.93 ,7/17/2024,"-73.4489300992, -49.2912340992",hub
50,853,$45.08 ,7/10/2023,"-63.382327808, -153.6173449216",cell
51,850,$73.51 ,4/3/2025,"13.6993212416, -51.3000646656",wifi
52,847,$65.84 ,3/1/2024,"15.2265222144, -143.514411008",cell
53,844,$52.89 ,3/10/2025,"-46.755072512, -105.8919354368",tv
54,841,$94.02 ,12/21/2023,"-89.324232704, -142.71514112",hub
55,838,$41.36 ,7/5/2023,"-57.6142529536, -146.3211476992",hub
56,835,$67.88 ,3/24/2025,"43.9030736896, 16.6162262016",tv
57,832,$81.42 ,7/24/2023,"21.6553116672, -28.241451008",switch
58,829,$77.38 ,6/8/2023,"-59.9501422592, -118.4553873408",wifi
59,826,$53.03 ,5/18/2025,"-3.3997218816, -132.4220992512",cell
60,823,$34.36 ,11/21/2024,"25.8600137728, 176.368051712",tv
61,820,$94.15 ,12/25/2023,"53.4464818176, 1.0784065536",switch
62,817,$32.73 ,9/12/2023,"-32.0957826048, 155.4090887168",wifi
63,814,$8.14 ,3/21/2025,"-73.6339401728, 77.8896892928",tv
64,811,$4.46 ,1/5/2025,"60.6207660032, -40.8254951424",tv
65,808,$48.40 ,9/8/2024,"32.9789561856, 154.9408784384",hub
66,805,$61.17 ,3/30/2025,"-30.5234724864, 53.8911200256",hub
67,802,$63.28 ,1/6/2024,"-78.4829403136, 27.4484030464",switch
68,799,$47.07 ,4/27/2024,"81.4208243712, 156.8932441088",wifi
69,796,$57.77 ,12/9/2024,"8.8773515264, 165.4689755136",switch
70,793,$87.81 ,2/25/2025,"66.3120100352, 176.6787315712",switch
71,790,$46.05 ,7/2/2023,"-49.7631289344, -132.9991622656",tv
72,787,$2.74 ,10/8/2024,"-55.2091707392, 6.2114630656",hub
73,784,$28.25 ,5/26/2025,"2.4363300864, -155.384012288",tv
74,781,$71.12 ,5/19/2025,"-62.6934020096, 24.6938174464",switch
75,778,$98.43 ,9/24/2023,"51.52799232, 36.1238946816",wifi
76,775,$76.60 ,11/9/2023,"42.143746048, 33.9187743744",cell
77,772,$63.04 ,9/8/2024,"-69.2105360384, 20.9359950848",wifi
78,769,$15.15 ,3/15/2024,"12.9704762368, 63.0417690624",tv
79,766,$68.26 ,3/5/2024,"-17.9391643648, -165.1152956416",hub
80,763,$26.03 ,8/23/2023,"-55.614716416, -130.8283240448",
81,760,$25.11 ,10/7/2024,"70.1516306432, 137.1891601408",wifi
82,757,$76.11 ,9/28/2024,"-1.8911183872, -104.7829343232",tv
83,754,$1.65 ,10/12/2024,"60.26555904, -114.4086253568",switch
84,751,$43.74 ,10/17/2024,"70.033745408, -21.3564888064",switch
85,748,$21.02 ,4/23/2025,"21.6957246464, -140.2099680256",wifi
86,745,$73.07 ,12/16/2024,"42.050991104, 66.6764560384",wifi
87,742,$97.00 ,8/1/2024,"-23.8383087616, -149.0355961856",hub
88,739,$61.31 ,11/28/2024,"-81.5482678272, -31.1677642752",switch
89,736,$91.99 ,12/31/2024,"-30.0491912192, 28.5083911168",cell
90,733,$2.33 ,7/1/2023,"64.5139740672, -99.2932120576",cell
